chembl_id;organism;canonical_smiles;T1/2 /hr
CHEMBL2414617;Rattus norvegicus;OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(-c4ccc(F)nc4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O;3.53
CHEMBL241458;Rattus norvegicus;CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCC(F)(F)F)C(=O)C(C)(c1cc(F)cc(F)c1)O2;2.5
CHEMBL241457;Rattus norvegicus;CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCOCC(F)(F)F)C(=O)C(C)(c1cc(F)cc(F)c1)O2;0.15
CHEMBL2414267;Rattus norvegicus;CC(C)(C)n1nnnc1C(Nc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1)c1ccc(Br)cc1;22.64
CHEMBL2414265;Rattus norvegicus;CC(C)(C)n1nnnc1C(Nc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1)c1ccc(Cl)cc1;5.27
CHEMBL2414256;Mus musculus;CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)cc1;4.0
CHEMBL2413882;Rattus norvegicus;CC(C)(C)n1nnnc1C(c1cccc(Nc2ccnc3cc(Cl)ccc23)c1)N1CCCC1;0.85
CHEMBL2413849;Rattus norvegicus;Cc1ccc2[nH]c(C(=O)N3CCC(CC(C)(C)O)CC3)cc2c1;0.46
CHEMBL241288;Rattus norvegicus;CC[C@H]1CCCCN1C[C@@H](O)CNS(=O)(=O)c1cccc2ccccc12;0.9
CHEMBL241271;Rattus norvegicus;O=C(C(O)c1ccc(Br)cc1)N1CCC(Nc2ccc3[nH]ncc3c2)CC1;1.1
CHEMBL241241;Rattus norvegicus;CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC(F)(F)F)C(=O)C(C)(c1cc(F)cc(F)c1)O2;2.2
CHEMBL241220;Mus musculus;CCc1n[n+]([O-])c2ccc(OCCN(C)C)cc2[n+]1[O-];0.5367
CHEMBL241215;Mus musculus;CCc1n[n+]([O-])c2ccccc2[n+]1[O-];0.1867
CHEMBL241095;Rattus norvegicus;C[C@@H](CNc1ccc(OC(F)(F)F)cc1)NC(=O)[C@@H](CC(=O)N1CCOCC1)CC1CCCC1;0.68
CHEMBL241063;Rattus norvegicus;CC(=O)c1sc(-c2ccc(OCCCOc3ccc4c(c3)CC[C@H]4CC(=O)O)nc2)nc1C;5.0
