chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL160095;Mus musculus;S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccn1;20.0
CHEMBL160016;Mus musculus;Nc1ccc(NC(=O)CC23CCCN2CCC3)cc1;12.0
CHEMBL16;Mus musculus;O=C1N=C(O)NC1(c1ccccc1)c1ccccc1;100.0
CHEMBL159985;Mus musculus;COc1ccc(OC)c(NC(=O)CC23CCCN2CCC3)c1;203.0
CHEMBL1599610;Mus musculus;O=C(/C=C/c1cccc(Cl)c1)c1nc2ccccc2[nH]1;692.0
CHEMBL159924;Mus musculus;O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1C1CCNCC1;1393.0
CHEMBL159878;Mus musculus;O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2;30.0
CHEMBL159849;Mus musculus;CN1CCC(N2C(=O)CN=C(c3ccccc3F)c3cc(F)ccc32)CC1;267.0
CHEMBL159785;Mus musculus;OC(Cn1ccnc1)c1ccc(Cl)cc1;270.0
CHEMBL159783;Mus musculus;COC(=O)NC1=NCC(c2ccccc2)CN1;142.0
CHEMBL159678;Mus musculus;O=C(CC12CCCN1CCC2)Nc1ccccc1Cl;347.0
CHEMBL159677;Mus musculus;COc1ccccc1NC(=O)CC12CCCN1CCC2;381.0
CHEMBL159351;Mus musculus;O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)C(=O)c1ccccc1C2=O;30.0
CHEMBL159329;Mus musculus;CCOc1ccc(N/C(CSC(=S)N(CC)CC)=N/c2ccc(C)cc2)cc1;850.0
CHEMBL159318;Mus musculus;CCN(CC)C(=S)SC/C(=N\c1ccc(OC)cc1)Nc1ccc(OC)cc1;1370.0
CHEMBL159283;Mus musculus;O=C(Cn1ccnc1)c1ccc(Oc2ccccc2)cc1;100.0
CHEMBL159;Mus musculus;CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1;28.0
CHEMBL158998;Mus musculus;CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](OC3/C(C)=C/CC4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O;160.0
CHEMBL15891;Mus musculus;Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl;40.0
CHEMBL158894;Mus musculus;CCC(=O)NC1=NC(c2ccccc2)CN1;500.0
CHEMBL158841;Mus musculus;COC(=O)NC1=NCC(c2ccccc2)N1C;200.0
CHEMBL15875;Mus musculus;CC1(C)C=C(C(=O)NCCCNC(=O)C2CCCCC2C(=O)O)C(C)(C)N1;753.0
CHEMBL15865;Mus musculus;CC1(C)C=C(C(=O)NCCNC(=O)c2ccccn2)C(C)(C)N1;88.0
CHEMBL158637;Mus musculus;O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1cccc([N+](=O)[O-])c1;18.0
CHEMBL158321;Mus musculus;COC(=O)NC1=NC(c2c(Cl)cccc2Cl)CN1;300.0
